symbol,strategy,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate_pct,profit_factor
EURUSD,TrendFollowing,-52.42328365412714,-0.735537054024138,-62.77045265949954,1070,39.06542056074767,0.8722959812120923
EURUSD,MeanReversion,-6.614812976257722,-0.08839387028159859,-21.90146084887616,322,41.30434782608695,0.9678933138425035
EURUSD,MACD,-48.115902816702196,-0.6157627831403724,-61.52960005882726,1129,39.5925597874225,0.9124436927389472
EURUSD,RSI_Stoch,-0.49827972648985863,0.04663939948809835,-20.64260703056859,414,42.028985507246375,0.9980498783877518
EURUSD,Momentum,1.8253593662805434,0.23060766887542442,-2.011441393908214,8,50.0,1.4396673483059383
EURUSD,TripleScreen,-19.999579700575808,-0.5793551699733237,-24.042576221399305,175,37.142857142857146,0.8082852565470082
EURUSD,Breakout,-17.58432216395971,-0.3867364447702814,-25.283621491351578,264,39.39393939393939,0.8845959087783507
EURUSD,EMACross,-6.481387413582307,-0.023934599234963504,-37.77117884288828,660,41.515151515151516,0.9816261455435014
USDJPY,TrendFollowing,-22.025368036128345,-0.18875619915893244,-42.99500197729989,1052,40.68441064638783,0.9591464144928596
USDJPY,MeanReversion,-66.11884706469324,-2.0772298967895937,-66.749811143744,364,29.945054945054945,0.5941619123762799
USDJPY,MACD,-61.20733365681601,-1.0008615040981688,-64.33052688600787,1009,37.85926660059465,0.8542792514065863
USDJPY,RSI_Stoch,-54.729992766371105,-1.3839981338908893,-56.15936671998085,414,34.05797101449276,0.7117058342992477
USDJPY,Momentum,-0.7964083217532392,-0.028621450960254622,-9.256322237842204,40,40.0,0.9672645035017383
USDJPY,TripleScreen,-25.567610888462077,-0.934907733657238,-25.56761088846182,129,32.55813953488372,0.6741461647236138
USDJPY,Breakout,-18.550937855241635,-0.5892345374566749,-26.791595709851407,146,36.3013698630137,0.7783951728756042
USDJPY,EMACross,27.243348511531273,0.418802809046532,-25.6585079380358,600,43.166666666666664,1.0752631492407425
GBPUSD,TrendFollowing,-56.81728494410989,-0.8466128164312612,-64.11293959128548,1062,38.88888888888889,0.8589492683543694
GBPUSD,MeanReversion,-35.27244511892058,-0.7744094874836687,-36.598885308193644,368,37.77173913043478,0.810420467008376
GBPUSD,MACD,-71.88918736542172,-1.2731704112592228,-74.48409781077575,1148,37.80487804878049,0.818618657298565
GBPUSD,RSI_Stoch,6.296127532317519,0.16017346542147873,-21.132121779093424,466,42.91845493562232,1.0210708373395156
GBPUSD,Momentum,9.396369167301287,0.7219877820749342,-3.016643714568172,18,61.111111111111114,2.2647585153270535
GBPUSD,TripleScreen,-4.772044692051891,-0.09273440006751264,-16.649192675309,184,41.30434782608695,0.958598440477455
