2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:275 | Training LightGBM model...
2026-01-26 14:59:27 | INFO     | src.training.trainer:train_lightgbm:288 | Training complete. Best iteration: 49
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:332 | Train RMSE: 0.106182, Val RMSE: 0.123803
2026-01-26 14:59:27 | INFO     | src.training.trainer:train:334 | Train Direction Acc: 0.969, Val Direction Acc: 0.947
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=platt
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.calibration:fit:166 | Calibrator fitted: method=isotonic, samples=100, direction_accuracy=0.990
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=platt
2026-01-26 14:59:27 | INFO     | src.training.calibration:fit:166 | Calibrator fitted: method=platt, samples=100, direction_accuracy=0.990
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | WARNING  | src.training.calibration:fit:135 | Insufficient data for calibration: 2 < 50. Skipping calibration.
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | WARNING  | src.training.calibration:transform:200 | Calibrator not fitted. Returning raw probabilities.
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.calibration:fit:166 | Calibrator fitted: method=isotonic, samples=100, direction_accuracy=0.990
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.calibration:fit:166 | Calibrator fitted: method=isotonic, samples=100, direction_accuracy=0.990
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
2026-01-26 14:59:27 | INFO     | src.training.calibration:fit:166 | Calibrator fitted: method=isotonic, samples=100, direction_accuracy=0.990
2026-01-26 14:59:27 | INFO     | src.training.calibration:save:310 | Calibrator saved to C:\Users\kuniyoshi\AppData\Local\Temp\pytest-of-kuniyoshi\pytest-1\test_save_load0\calibrator
2026-01-26 14:59:27 | INFO     | src.training.calibration:__init__:72 | ConfidenceCalibrator initialized: method=isotonic
